Beer,Brewery,Location,Style,Size,ABV,IBUs
Big Cock IPA,Great River Brewery,"Davenport, IA",American IPA,16 oz.,7.00%,70
Oktoberfest,Great River Brewery,"Davenport, IA",Märzen / Oktoberfest,16 oz.,5.90%,25
Tour de Nez Belgian IPA (Current),Buckbean Brewing Company,"Reno, NV",Belgian IPA,16 oz.,8.00%,N/A
Velvet Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16 oz.,8.50%,N/A
Dirty Blonde Ale,Atwater Brewery,"Detroit, MI",American Blonde Ale,12 oz.,4.50%,8
Amber Road,Baxter Brewing Company,"Lewiston, ME",American Amber / Red Ale,12 oz.,5.50%,35
Grapefruit Jungle (GFJ) (2011),Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,7.50%,77
Special Edition: Allies Win The War!,21st Amendment Brewery,"San Francisco, CA",English Strong Ale,12 oz.,8.50%,52
Flagship IPA,Carolina Brewery,"Pittsboro, NC",English India Pale Ale (IPA),12 oz.,5.70%,N/A
Tin Roof Blonde Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Blonde Ale,12 oz.,4.50%,18
Grand Circus IPA,Atwater Brewery,"Detroit, MI",American IPA,12 oz.,5.00%,62
Atwater's Lager,Atwater Brewery,"Detroit, MI",Munich Helles Lager,12 oz.,5.00%,12
Sun King Oktoberfest (2011),Sun King Brewing Company,"Indianapolis, IN",Märzen / Oktoberfest,16 oz.,5.50%,23
Diesel,Sixpoint Craft Ales,"Brooklyn, NY",American Stout,16 oz.,6.30%,69
Dolores River Hefeweizen,Dolores River Brewery,"Dolores, CO",Hefeweizen,16 oz.,???,N/A
Winter Solstice,Anderson Valley Brewing Company,"Boonville, CA",Winter Warmer,12 oz.,6.90%,6
McKinney Eddy Amber Ale,Piney River Brewing Company,"Bucryus, MO",American Amber / Red Ale,16 oz.,5.50%,20
Inclined Plane Ale,Flat Rock Brewing Company,"Smithton, PA",American IPA,12 oz.,???,N/A
SoDo Brown Ale,Two Beers Brewing Company,"Seattle, WA",American Brown Ale,12 oz.,5.40%,20
Immersion Amber Ale (2011),Two Beers Brewing Company,"Seattle, WA",American Amber / Red Ale,12 oz.,5.20%,27
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,"Davenport, IA",American Amber / Red Ale,16 oz.,4.80%,25
Jockamo IPA,Abita Brewing Company,"Abita Springs, LA",American IPA,12 oz.,6.50%,52
Purple Haze,Abita Brewing Company,"Abita Springs, LA",Fruit / Vegetable Beer,12 oz.,4.20%,13
Abita Amber,Abita Brewing Company,"Abita Springs, LA",American Amber / Red Lager,12 oz.,4.50%,17
Bomb Lager (Old Recipe),Bomb Beer Company,"New York, NY",Munich Helles Lager,12 oz.,4.50%,27
Autumnation (2011-12) (2011),Sixpoint Craft Ales,"Brooklyn, NY",Pumpkin Ale,16 oz.,6.00%,48
High Country Pilsner (Current),Mammoth Brewing Company,"Mammoth Lakes, CA",German Pilsener,12 oz.,4.20%,N/A
T-Rail Pale Ale,Old Forge Brewing Company,"Danville, PA",American Pale Ale (APA),16 oz.,5.50%,N/A
Endless Summer Ale (2011),Old Forge Brewing Company,"Danville, PA",American Pale Wheat Ale,16 oz.,4.80%,N/A
Firewater India Pale Ale,Catawba Brewing Company,"Morganton, NC",American IPA,12 oz.,5.20%,N/A
Great Falls Select Pale Ale,Harvest Moon Brewing Company,"Belt, MT",American Blonde Ale,12 oz.,???,N/A
Evolutionary IPA (2011),Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70
Roler Bock (Current),Buckbean Brewing Company,"Reno, NV",Maibock / Helles Bock,16 oz.,???,N/A
Alteration,Hops & Grain Brewery,"Austin, TX",Altbier,12 oz.,5.10%,40
Pale Dog,Hops & Grain Brewery,"Austin, TX",American Pale Ale (APA),12 oz.,6.00%,50
Alphadelic IPA (2011),Hop Valley Brewing Company,"Springfield, OR",American IPA,12 oz.,6.50%,90
Double D Blonde (2011),Hop Valley Brewing Company,"Springfield, OR",American Blonde Ale,12 oz.,4.90%,20
Hilliard's Amber Ale,Hilliard's Beer,"Seattle, WA",American Amber / Red Ale,16 oz.,5.50%,60
Hilliard's Saison,Hilliard's Beer,"Seattle, WA",Saison / Farmhouse Ale,16 oz.,6.60%,30
Voodoo Bengal Pale Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Pale Ale (APA),12 oz.,5.50%,37
Perfect Tin Amber,Tin Roof Brewing Company,"Baton Rouge, LA",American Amber / Red Ale,12 oz.,4.50%,28
Hopitoulas IPA,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American IPA,16 oz.,6.50%,N/A
NOLA Brown Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",English Dark Mild Ale,12 oz.,3.90%,N/A
NOLA Blonde Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Blonde Ale,12 oz.,4.90%,N/A
Trailhead India Style Session Ale (2011),Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,4.80%,48
Threadless IPA,Finch's Beer Company,"Chicago, IL",American IPA,16 oz.,7.50%,N/A
Farmer Ted's Farmhouse Cream Ale,Catawba Brewing Company,"Morganton, NC",Cream Ale,12 oz.,5.60%,N/A
Missouri Mule India Pale Ale,Piney River Brewing Company,"Bucryus, MO",American IPA,16 oz.,7.00%,70
Great Crescent Belgian Style Wit,Great Crescent Brewery,"Aurora, IN",Witbier,16 oz.,5.10%,13
White Water Wheat,Grand Canyon Brewing Company,"Williams, AZ",American Pale Wheat Ale,12 oz.,5.00%,N/A
Grand Canyon American Pilsner,Grand Canyon Brewing Company,"Williams, AZ",American Pilsner,12 oz.,5.20%,N/A
Yellowstone Golden Ale,Lewis and Clark Brewing Company,"Helena, MT",Kölsch,12 oz.,5.10%,N/A
Tumbleweed IPA,Lewis and Clark Brewing Company,"Helena, MT",American IPA,12 oz.,5.70%,N/A
Lewis & Clark Amber Ale,Lewis and Clark Brewing Company,"Helena, MT",American Amber / Red Ale,12 oz.,5.00%,N/A
Miner's Gold Hefeweizen,Lewis and Clark Brewing Company,"Helena, MT",Hefeweizen,12 oz.,5.00%,N/A
Back Country Scottish Ale,Lewis and Clark Brewing Company,"Helena, MT",Scottish Ale,12 oz.,5.70%,N/A
Bozone Select Amber Ale,Bozeman Brewing Company,"Bozeman, MT",American Amber / Red Ale,12 oz.,5.50%,N/A
Fox Tail Gluten Free Ale,Joseph James Brewing Company,"Henderson, NV",American Pale Ale (APA),12 oz.,5.00%,50
Hop Box Imperial IPA,Joseph James Brewing Company,"Henderson, NV",American Double / Imperial IPA,12 oz.,9.30%,90
Joseph James American Lager,Joseph James Brewing Company,"Henderson, NV",American Adjunct Lager,12 oz.,5.20%,15
Top Rope Mexican-style Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,15
Sympathy for the Lager,Karbach Brewing Company,"Houston, TX",American Amber / Red Lager,12 oz.,4.90%,45
Weisse Versa,Karbach Brewing Company,"Houston, TX",Hefeweizen,12 oz.,5.20%,15
Hopadillo India Pale Ale,Karbach Brewing Company,"Houston, TX",American IPA,12 oz.,6.60%,70
Dundee Summer Wheat Beer,Dundee Brewing Company,"Rochester, NY",American Pale Wheat Ale,12 oz.,4.50%,18
Point Oktoberfest,Stevens Point Brewery,"Stevens Point, WI",Märzen / Oktoberfest,12 oz.,5.70%,15
Bourbon's Barrel Stout,Great Crescent Brewery,"Aurora, IN",American Stout,16 oz.,7.50%,65
Saranac Summer Ale (2011),Matt Brewing Company,"Utica, NY",American Pale Wheat Ale,12 oz.,4.70%,N/A
Panorama Wheat Ale,Two Beers Brewing Company,"Seattle, WA",American Pale Wheat Ale,12 oz.,4.60%,N/A
Dolores River ESB,Dolores River Brewery,"Dolores, CO",Extra Special / Strong Bitter (ESB),16 oz.,???,N/A
Snaggletooth Double Pale Ale,Dolores River Brewery,"Dolores, CO",American Double / Imperial IPA,16 oz.,???,N/A
Dolores River Pale Ale,Dolores River Brewery,"Dolores, CO",American Pale Ale (APA),16 oz.,???,N/A
Dolores River Dry Stout,Dolores River Brewery,"Dolores, CO",Irish Dry Stout,16 oz.,???,N/A
Dolores River Mild,Dolores River Brewery,"Dolores, CO",English Dark Mild Ale,16 oz.,???,N/A
Special Amber,Sprecher Brewing Company,"Glendale, WI",Vienna Lager,12 oz.,5.00%,22
Upslope Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,22
Great Crescent Stout,Great Crescent Brewery,"Aurora, IN",English Stout,16 oz.,8.00%,66
Great Crescent Coconut Porter (2012),Great Crescent Brewery,"Aurora, IN",American Porter,16 oz.,5.60%,33
Great Crescent Dark Lager,Great Crescent Brewery,"Aurora, IN",Euro Dark Lager,16 oz.,5.70%,23
Great Crescent Mild Ale,Great Crescent Brewery,"Aurora, IN",English Dark Mild Ale,16 oz.,4.20%,26
Great Crescent IPA (2011),Great Crescent Brewery,"Aurora, IN",American IPA,16 oz.,6.20%,60
Flyin' HI.P.Hay,Maui Brewing Company,"Lahaina, HI",American IPA,12 oz.,6.80%,68
Sockeye Red IPA,Midnight Sun Brewing Company,"Anchorage, AK",American IPA,12 oz.,5.70%,70
Greenville Pale Ale,Twin Lakes Brewing Company,"Greenville, DE",American Pale Ale (APA),12 oz.,5.50%,52
Hop Crisis,21st Amendment Brewery,"San Francisco, CA",American Double / Imperial IPA,12 oz.,9.70%,94
Colorado Native (2011),AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26
Hop Slayer Double IPA (2011),Wild Onion Brewing Company,"Lake Barrington, IL",American Double / Imperial IPA,12 oz.,8.20%,100
Ninja Porter,Asheville Brewing Company,"Asheville, NC",American Porter,12 oz.,5.30%,26
Shiva IPA,Asheville Brewing Company,"Asheville, NC",American IPA,12 oz.,6.00%,69
Sky Blue Golden Ale,Carolina Brewery,"Pittsboro, NC",Kölsch,12 oz.,5.10%,N/A
Torpedo,Sierra Nevada Brewing Company,"Chico, CA",American IPA,16 oz.,7.20%,65
The Crisp (2011),Sixpoint Craft Ales,"Brooklyn, NY",German Pilsener,16 oz.,5.40%,42
Sweet Action (2011),Sixpoint Craft Ales,"Brooklyn, NY",Cream Ale,16 oz.,5.20%,34
Righteous Ale (2011),Sixpoint Craft Ales,"Brooklyn, NY",Rye Beer,16 oz.,6.30%,57
Bengali Tiger (2011),Sixpoint Craft Ales,"Brooklyn, NY",American IPA,16 oz.,6.40%,62
Mustang Golden Ale,Mustang Brewing Company,"Mustang, OK",American Blonde Ale,12 oz.,5.30%,10
Washita Wheat,Mustang Brewing Company,"Mustang, OK",American Pale Wheat Ale,12 oz.,5.30%,14
Second Wind Pale Ale,Mother Earth Brewing Company,"Kinston, NC",American Pale Ale (APA),12 oz.,5.00%,N/A
Fistmas Ale,Revolution Brewing Company,"Chicago, IL",Herbed / Spiced Beer,12 oz.,6.10%,31
Oktoberfest Revolution,Revolution Brewing Company,"Chicago, IL",Märzen / Oktoberfest,12 oz.,5.70%,25
Eugene Porter,Revolution Brewing Company,"Chicago, IL",American Porter,12 oz.,6.80%,28
Anti-Hero IPA,Revolution Brewing Company,"Chicago, IL",American IPA,12 oz.,6.50%,70
Bottom Up Belgian Wit,Revolution Brewing Company,"Chicago, IL",Witbier,12 oz.,5.00%,14
Sky High Rye,Arcadia Brewing Company,"Battle Creek, MI",American Pale Ale (APA),12 oz.,6.00%,55
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",American Pale Wheat Ale,12 oz.,5.00%,20
River Pig Pale Ale,Angry Minnow Brewing Company,"Hayward, WI",American Pale Ale (APA),16 oz.,5.40%,N/A
Oaky's Oatmeal Stout,Angry Minnow Brewing Company,"Hayward, WI",Oatmeal Stout,16 oz.,4.70%,N/A
Sunny Haze,Mother Earth Brewing Company,"Kinston, NC",Hefeweizen,12 oz.,5.00%,N/A
OB-1 Organic Ale,Snake River Brewing Company,"Jackson, WY",English Brown Ale,12 oz.,5.00%,22
Snake River Lager,Snake River Brewing Company,"Jackson, WY",Vienna Lager,12 oz.,5.00%,18
Black Star Double Hopped Golden Lager ,Great Northern Brewing Company,"Whitefish, MT",American Pale Lager,24 oz.,4.50%,15
(24 oz.),,,,,,
Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,16 oz.,4.20%,24
Snake River Pale Ale,Snake River Brewing Company,"Jackson, WY",American Pale Ale (APA),12 oz.,5.20%,32
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,"Chico, CA",American Pale Ale (APA),12 oz.,5.60%,37
Pyramid Hefeweizen (2011),Pyramid Breweries,"Seattle, WA",Hefeweizen,12 oz.,5.20%,18
Wild Onion Summer Wit,Wild Onion Brewing Company,"Lake Barrington, IL",Witbier,12 oz.,4.20%,13
SummerBright Ale,Breckenridge Brewery,"Denver, CO",American Pale Wheat Ale,12 oz.,4.50%,15
Crank Yanker IPA (2011),Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,16 oz.,7.80%,74
Johan the Barleywine,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz.,9.90%,60
Pako’s EyePA,Snake River Brewing Company,"Jackson, WY",American IPA,12 oz.,6.80%,60
Rumspringa Golden Bock,Lancaster Brewing Company,"Lancaster, PA",Maibock / Helles Bock,12 oz.,6.60%,30
One Hit Wonder,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,9.00%,60
Whitsun,Arcadia Brewing Company,"Battle Creek, MI",American Pale Wheat Ale,12 oz.,6.20%,17
Great Crescent Blonde Ale (2011),Great Crescent Brewery,"Aurora, IN",American Blonde Ale,16 oz.,5.30%,22
G'KNIGHT (12 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85
Farm Hand,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.50%,N/A
Mexican Logger,Ska Brewing Company,"Durango, CO",American Pale Lager,12 oz.,4.20%,18
Solitude,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,6.00%,N/A
Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.50%,N/A
Black Adder IBA (Current),Buckbean Brewing Company,"Reno, NV",American Black Ale,16 oz.,7.30%,85
Common Sense Kentucky Common Ale,Upstate Brewing Company,"Elmira, NY",American Brown Ale,16 oz.,5.30%,22
Upstate I.P.W.,Upstate Brewing Company,"Elmira, NY",American IPA,12 oz.,6.50%,70
Heady Topper,The Alchemist,"Waterbury, VT",American Double / Imperial IPA,16 oz.,8.00%,120
Redband Stout,Great River Brewery,"Davenport, IA",American Stout,16 oz.,6.00%,36
Festie,Starr Hill Brewery,"Crozet, VA",Märzen / Oktoberfest,12 oz.,4.80%,12
Northern Lights India Pale Ale,Starr Hill Brewery,"Crozet, VA",American IPA,12 oz.,6.50%,52
Hop Ottin' IPA (2011),Anderson Valley Brewing Company,"Boonville, CA",American IPA,12 oz.,7.00%,80
Jack Stout,Wild Onion Brewing Company,"Lake Barrington, IL",Oatmeal Stout,12 oz.,6.00%,23
BRIK Irish Red Ale,MillKing It Productions,"Royal Oak, MI",Irish Red Ale,16 oz.,4.80%,N/A
Olde Ore Dock Scottish Ale,Keweenaw Brewing Company,"Houghton, MI",Scottish Ale,12 oz.,???,N/A
Milkshake Stout,Rochester Mills Brewing Company,"Rochester, MI",Milk / Sweet Stout,16 oz.,5.00%,N/A
Blacktop Blonde,TailGate Beer,"San Diego, CA",American Blonde Ale,12 oz.,5.00%,19
TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Hefeweizen,12 oz.,4.90%,28
#9,Magic Hat Brewing Company,"South Burlington, VT",Fruit / Vegetable Beer,12 oz.,5.10%,20
Sankaty Light Lager,Cisco Brewers,"Nantucket, MA",Light Lager,12 oz.,3.80%,N/A
Hop Knot IPA,Four Peaks Brewing Company,"Tempe, AZ",American IPA,12 oz.,6.70%,47
2012 Black Ale,Stevens Point Brewery,"Stevens Point, WI",American Brown Ale,12 oz.,5.40%,32
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,5.20%,25
Lumberyard IPA,Lumberyard Brewing Company,"Flagstaff, AZ",American IPA,12 oz.,6.10%,N/A
Bitter American (2011),21st Amendment Brewery,"San Francisco, CA",American Pale Ale (APA),12 oz.,4.40%,42
Over Ale,Half Acre Beer Company,"Chicago, IL",American Brown Ale,16 oz.,6.00%,N/A
Cut Throat Pale Ale (2011),Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
Golden Wing Blonde Ale,Finch's Beer Company,"Chicago, IL",American Blonde Ale,16 oz.,4.70%,N/A
Sunken Island IPA,Kenai River Brewing Company,"Soldotna, AK",American IPA,12 oz.,6.80%,N/A
Skilak Scottish Ale (2011),Kenai River Brewing Company,"Soldotna, AK",Scottish Ale,12 oz.,5.80%,N/A
Golden State Ale,Uncommon Brewers,"Santa Cruz, CA",Belgian Pale Ale,16 oz.,6.40%,N/A
Baltic Porter,Uncommon Brewers,"Santa Cruz, CA",Baltic Porter,16 oz.,7.80%,N/A
Upslope Brown Ale,Upslope Brewing Company,"Boulder, CO",English Brown Ale,12 oz.,6.70%,N/A
Cherny Bock,Bohemian Brewery,"Midvale, UT",Schwarzbier,12 oz.,4.00%,N/A
Fire Eagle IPA,Austin Beerworks,"Austin, TX",American IPA,12 oz.,6.20%,N/A
Peacemaker,Austin Beerworks,"Austin, TX",American Pale Ale (APA),12 oz.,5.10%,N/A
Pearl-Snap,Austin Beerworks,"Austin, TX",German Pilsener,12 oz.,5.30%,N/A
Black Thunder,Austin Beerworks,"Austin, TX",Schwarzbier,12 oz.,5.20%,N/A
Copper Hook (2011),Redhook Brewery,"Woodinville, WA",American Amber / Red Ale,12 oz.,5.80%,27
Boneshaker Brown Ale,Moat Mountain Smoke House & Brew...,"North Conway, NH",English Brown Ale,24 oz.,5.50%,N/A
Iron Mike Pale Ale,Moat Mountain Smoke House & Brew...,"North Conway, NH",American Pale Ale (APA),24 oz.,5.60%,N/A
Ponderosa IPA,Prescott Brewing Company,"Prescott, AZ",American IPA,12 oz.,???,N/A
Wild Onion Pumpkin Ale (2010),Wild Onion Brewing Company,"Lake Barrington, IL",Pumpkin Ale,12 oz.,4.50%,N/A
WET,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.50%,90
Brooklyn Summer Ale (2011),Brooklyn Brewery,"Brooklyn, NY",English Pale Mild Ale,12 oz.,4.50%,N/A
Wapiti Amber Ale,Mogollon Brewing Company,"Flagstaff, AZ",American Amber / Red Ale,12 oz.,5.00%,N/A
Up River Light,Mudshark Brewing Company,"Lake Havasu City, AZ",Light Lager,12 oz.,4.20%,N/A
Wyoming Pale Ale,Wind River Brewing Company,"Pinedale, WY",American Pale Ale (APA),16 oz.,7.20%,N/A
Wind River Blonde Ale,Wind River Brewing Company,"Pinedale, WY",American Blonde Ale,16 oz.,5.00%,N/A
Fireside Chat (2010),21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45
Gandhi-Bot Double IPA ,New England Brewing Company,"Woodbridge, CT",American Double / Imperial IPA,12 oz.,8.80%,85
(12 oz.),,,,,,
1811 Lager,Fort George Brewery,"Astoria, OR",American Amber / Red Lager,16 oz.,5.10%,N/A
Vortex IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,7.40%,97
Hop Shock IPA (2010),SanTan Brewing Company,"Chandler, AZ",American IPA,12 oz.,7.00%,85
Narragansett Porter,Narragansett Brewing Company,"Providence, RI",American Porter,16 oz.,7.00%,22
Narragansett Bock,Narragansett Brewing Company,"Providence, RI",Bock,16 oz.,6.50%,32
Narragansett Fest Lager,Narragansett Brewing Company,"Providence, RI",Märzen / Oktoberfest,16 oz.,5.50%,15
Mana Wheat,Maui Brewing Company,"Lahaina, HI",American Pale Wheat Ale,12 oz.,5.50%,15
Snake Handler Double IPA,Good People Brewing Company,"Birmingham, AL",American Double / Imperial IPA,12 oz.,9.30%,103
Coffee Oatmeal Stout,Good People Brewing Company,"Birmingham, AL",Oatmeal Stout,12 oz.,6.00%,54
Good People IPA,Good People Brewing Company,"Birmingham, AL",American IPA,12 oz.,6.00%,64
Good People American Brown Ale,Good People Brewing Company,"Birmingham, AL",American Brown Ale,12 oz.,5.80%,36
Santa Fe Oktoberfest,Santa Fe Brewing Company,"Santa Fe, NM",Märzen / Oktoberfest,12 oz.,???,N/A
Imperial Java Stout,Santa Fe Brewing Company,"Santa Fe, NM",Russian Imperial Stout,12 oz.,8.00%,N/A
Freestyle Pilsner,Santa Fe Brewing Company,"Santa Fe, NM",German Pilsener,12 oz.,5.50%,N/A
SanTan HefeWeizen (2010),SanTan Brewing Company,"Chandler, AZ",Hefeweizen,12 oz.,5.00%,15
Devil’s Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45
AXL Pale Ale,MillKing It Productions,"Royal Oak, MI",American Pale Ale (APA),16 oz.,???,N/A
Pile O'Dirt Porter,Crow Peak Brewing Company,"Spearfish, SD",American Porter,12 oz.,6.90%,N/A
11th Hour IPA,Crow Peak Brewing Company,"Spearfish, SD",American IPA,12 oz.,6.00%,N/A
Colorado Red Ale,Revolution Brewing,"Paonia, CO",American Amber / Red Ale,12 oz.,6.20%,N/A
Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,12 oz.,???,N/A
Happy Camper IPA,Santa Fe Brewing Company,"Santa Fe, NM",American IPA,12 oz.,6.60%,N/A
Wee Mac Scottish-Style Ale,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz.,5.40%,23
Bear Ass Brown,Silverton Brewery,"Silverton, CO",American Brown Ale,12 oz.,4.20%,N/A
Lancaster German Style Kölsch,Lancaster Brewing Company,"Lancaster, PA",Kölsch,12 oz.,4.80%,28
Lucky U IPA,Breckenridge Brewery,"Denver, CO",American IPA,12 oz.,6.20%,68
Harpoon Summer Beer (2010),Harpoon Brewery,"Boston, MA",Kölsch,12 oz.,5.00%,28
483 Pale Ale (2010),Great River Brewery,"Davenport, IA",American Pale Ale (APA),16 oz.,5.30%,48
Roller Dam Red Ale (2010),Great River Brewery,"Davenport, IA",Irish Red Ale,16 oz.,5.40%,30
Pallavicini Pilsner (2009),Pug Ryan's Brewery,"Dillon, CO",Czech Pilsener,12 oz.,5.80%,21
The Corruption,DC Brau Brewing Company,"Washington, DC",American IPA,12 oz.,6.50%,80
The Citizen,DC Brau Brewing Company,"Washington, DC",Belgian Pale Ale,12 oz.,7.00%,N/A
The Public,DC Brau Brewing Company,"Washington, DC",American Pale Ale (APA),12 oz.,6.00%,N/A
Pamola Xtra Pale Ale,Baxter Brewing Company,"Lewiston, ME",American Pale Ale (APA),12 oz.,4.90%,28
Stowaway IPA,Baxter Brewing Company,"Lewiston, ME",American IPA,12 oz.,6.90%,69
Beltian White,Harvest Moon Brewing Company,"Belt, MT",Witbier,12 oz.,4.80%,N/A
Island Wheat,Capital Brewery,"Middleton, WI",American Pale Wheat Ale,12 oz.,4.20%,N/A
Kilt Lifter Scottish-Style Ale (2009),Four Peaks Brewing Company,"Tempe, AZ",Scottish Ale,12 oz.,6.00%,21
Sunbru Kölsch,Four Peaks Brewing Company,"Tempe, AZ",Kölsch,12 oz.,5.20%,N/A
Mickey Finn's Amber Ale,Mickey Finn's Brewery,"Libertyville, IL",American Amber / Red Ale,12 oz.,5.60%,N/A
Back in Black,21st Amendment Brewery,"San Francisco, CA",American Black Ale,12 oz.,6.80%,65
Flaming Damsel Lager (2010),Milwaukee Brewing Company,"Milwaukee, WI",Vienna Lager,16 oz.,4.80%,18
Louie’s Demise Immort-Ale (2010),Milwaukee Brewing Company,"Milwaukee, WI",American Amber / Red Ale,16 oz.,5.10%,24
Native Amber (2013),COOP Ale Works,"Oklahoma City, OK",American Amber / Red Ale,16 oz.,6.30%,35
Horny Toad Cerveza (2013),COOP Ale Works,"Oklahoma City, OK",American Blonde Ale,16 oz.,5.30%,25
Summer Honey,Big Sky Brewing Company,"Missoula, MT",American Blonde Ale,12 oz.,4.70%,N/A
Oktoberfest Lager,Sly Fox Brewing Company,"Pottstown, PA",Märzen / Oktoberfest,12 oz.,5.80%,25
White Ale,New South Brewing Company,"Myrtle Beach, SC",Witbier,12 oz.,4.60%,N/A
Black Star Double Hopped Golden Lager ,Great Northern Brewing Company,"Whitefish, MT",American Pale Lager,12 oz.,4.50%,15
(12 oz.),,,,,,
Paddy Pale Ale,Wild Onion Brewing Company,"Lake Barrington, IL",American Pale Ale (APA),12 oz.,5.60%,41
Red Mountain Ale,Silverton Brewery,"Silverton, CO",American Amber / Red Ale,12 oz.,6.00%,N/A
Ice Pick Ale,Silverton Brewery,"Silverton, CO",American IPA,12 oz.,6.80%,N/A
